SONIKA	ಸೋನಿಕಾ
KHOONI KAUN	ಖೂನ್ ಕೌನ್
KIEV	ಕೀವ್
AABIDAH	ಆಬಿದಾ
CANADA SOUTHERN PETROLEUM	ಕೆನಡಾ ಸದರ್ನ್ ಪೆಟ್ರೋಲಿಯಂ
Prateecheesh	ಪ್ರತೀಚೀಶ್
YATI	ಯತಿ
YATI	ಯತೀ
SILSILA	ಸಿಲ್‌ಸಿಲಾ
AABIRAH	ಆಬಿರಾ
GATTING	ಗ್ಯಾಟಿಂಗ್
GUMNAAM HAI KOI	ಗುಮ್ನಾಮ್ ಹೈ ಕೋಯಿ
NIKET	ನಿಕೆತ್
Zulqarnain	ಜುಲ್ಕರ್‌ನೈನ್
BHEROOLAAL	ಭೇರೂಲಾಲ್
Rijish	ಋಜೀಶ್
Schleswig-holstein	ಸ್ಕ್ವಿಲ್ಸ್‌ವಿಗ್-ಹೋಲ್‌ಸ್ಟೀನ್
ABHINABHAS	ಅಭಿನಭಾಸ್
CHAKAR	ಚಕರ್
EDWINA	ಎಡ್ವಿನಾ
DEVASHEESH	ದೇವಶೀಶ್
Hannover	ಹ್ಯಾನೋವರ್
AAZADI	ಆಜಾದೀ
NABILAH	ನಬೀಲಾಲ್
SALWAAN	ಸಲ್ವಾನಾ
MARK HASLAM	ಮಾರ್ಕ್ ಹಸ್ಲಾಂ
DUGDOL	ದುಗಡೊಲ್
Fandango	ಫಂಡಾಂಗೊ
CRAIG MATTHEWS	ಕ್ರೆಗ್ ಮ್ಯಾಥ್ಯೂಸ್
Telefónica	ಟೆಲಿಫೋನಿಕಾ
YAHAN WAHAN	ಯಹಾ ವಹಾ
JOHANNESBURG	ಜೋಹಾನ್ಸ್ ಬರ್ಗ್
CHHUPA CHHUPEE	ಛುಪಾ ಛುಪೀ
AZTEC SOFTWARE	ಅಜ್ಟೆಕ್ ಸಾಫ್ಟ್‌ವೇರ್
SHYAMA	ಶ್ಯಾಮ
PARTHAPRATIM	ಪಾರ್ಥಪ್ರತಿಮ್
FINE ARTS MUSEUM OF SAN FRANSISCO	ಫೈನ್ ಆರ್ಟ್ಸ್ ಮ್ಯೂಸಿಯಂ ಆಫ್ ಸ್ಯಾನ್ ಫ್ರಾನ್ಸಿಸ್ಕೋ
TOFKHANE	ತೋಫಖಾನೆ
VINDHYA	ವಿಂಧ್ಯ
Akanapet	ಅಕನಾಪೇಟ್
CHIRMIRI	ಚಿರಮುರಿ
WESTAIM CORPORATION	ವೆಸ್ಟೈಮ್ ಕಾರ್ಪೊರೇಶನ್
STEINFELD CUP	ಸ್ಟೆನ್‌ಫೀಲ್ಡ್ ಕಪ್
MANMAYI	ಮನ್ಮಯಿ
ELTEK	ಎಲ್ಟೆಕ್
BABUL	ಬಾಬುಲ್
Pegasus	ಪೆಗಾಸುಸ್
Ajmer	ಅಜ್ಮೇರ್
Madras	ಮದ್ರಾಸ್
SHAMSHAD	ಶಮ್ಶದ್
BLACK MAILER	ಬ್ಲ್ಯಾಕ್ ಮೆಲರ್
DHARAMDEEP	ಧರಂದೀಪ್
Garibi	ಗರೀಬೀ
NIAMUR	ನೈಮುರ್
KANPUR	ಕಾನ್ಪುರ್
OMARI BANKS	ಒಮರಿ ಬ್ಯಾಂಕ್ಸ್
GIRAN	ಗಿರನ್
MERCK PHARMA	ಮರ್ಕ್ ಫಾರ್ಮಾ
WAYNE	ವಾಯ್ನ್
SHEHNAI	ಶಹನಾಯಿ
Tamesis	ತಮೇಸಿಸ್
DURG	ದುರ್ಗ
DURG	ದುರ್ಗ್
ROTI KAPADA AUR MAKAN	ರೋಟಿ ಕಪಡಾ ಔರ್ ಮಕಾನ್
TINA TURNER	ಟೀನಾ ಟರ್ನರ್
BRITISH COMEDY AWARDS	ಬ್ರಿಟಿಷ್ ಕಾಮೆಡಿ ಅವಾರ್ಡ್ಸ್
BAQA	ಬಕ
ALCOA	ಅಲ್ಕೋವಾ
AJITESH	ಅಜಿತೇಶ್
BALMAA	ಬಲ್ಮಾ
DAYLE HADLEE	ಡೇಯ್ಲ್ ಹ್ಯಾಡ್ಲೀ
ANGURI	ಅಂಗುರಿ
PRAJIT	ಪ್ರಜಿತ್
FORT STANWIX	ಫೋರ್ಟ್ ಸ್ಟ್ಯಾನ್‌ವಿಕ್ಸ್
PINGALA	ಪಿಂಗಳ
Raajavraksh	ರಾಜವೃಕ್ಷ
Fabienne	ಫೇಬಿಯನ್
EK MISAAL	ಏಕ್ ಮಿಸಾಲ್
CHHALIA	ಛಲಿಯಾ
PRIX DECEMBRE	ಪ್ರಿಕ್ಸ್ ಡಿಸೆಂಬ್ರೆ
SEEMAANT	ಸೀಮಾಂತ್
PYASE NAIN	ಪ್ಯಾಸಿ ನೈನ್
PADMAPATI	ಪದ್ಮಪತಿ
MEIJI YASUDA LIFE INSURAMCE	ಮೈಜೀ ಬಯುದಾ ಲೈಫ್ ಇನ್ಷೂರೆನ್ಸ್
GRINDWELL NORTO	ಗ್ರೈಂಡ್‌ವೆಲ್ ನಾರ್ಟೊ
KALIMBA	ಕಲಿಂಬಾ
BARLAI	ಬರ್ಲಾ
JOHN DENVER	ಜಾನ್ ಡೆನ್ವರ್
MANU THE GREAT	ಮನು ದ ಗ್ರೇಟ್
Abnoor	ಅಬ್ನೂರ್
PHAANSI	ಫಾನ್ಸಿ
SAJILI	ಸಜಿಲಿ
VIJAY DAHIYA	ವಿಜಯ್ ದಹಿಯಾ
Lajja	ಲಜ್ಜಾ
RODEO	ರೋಡಿಯೊ
JULIETTE	ಜೂಲಿಯೆಟ್
YASHASVEE	ಯಶಸ್ವೀ
LACEY	ಲೆಸೀ
KESSEL	ಕೆಸೆಲ್
IBHANAN	ಇಭಾನನ್
KATELYN	ಕೇಟ್‌ಲಿನ್
KHARIJAH	ಖರೀಜಾ
KHARIJAH	ಖಾರಿಜಾ
GERALD PECKOVER	ಗೆರಾಲ್ಡ್ ಪೆಕೋವರ್
KAUSTAV	ಕೌಸ್ತವ್
AGNI MORCHA	ಅಗ್ನಿ ಮೋರ್ಚಾ
PREM KI DEVI	ಪ್ರೇಮ್ ಕಿ ದೇವಿ
TRUMBLE	ಟ್ರಂಬಲ್
CHHOTI SI MULAQAT	ಛೋಟೀ ಸೀ ಮುಲಾಕಾತ್
ROYAL ARCH	ರಾಯಲ್ ಆರ್ಕ್
Banita	ಬನಿತಾ
DIANNE	ಡಿಯಾನ್ನೆ
RAMAYANA	ರಾಮಾಯಣ
SUCHI	ಸುಚಿ
SAILING	ಸೈಲಿಂಗ್
CHAR DIL CHAR RAAHEN	ಚಾರ್ ದಿಲ್ ಚಾರ್ ರಾಹೇ
FORT RONDUIT	ಫೋರ್ಟ್ ರಾಂಡ್ಯೂಟ್
Chyna	ಚಾಯನಾ
HUM SE NA JEETA KOI	ಹಮ್ ಸೆ ನಾ ಜೀತಾ ಕೋಯಿ
DO BIGHA ZAMEEN	ದೋ ಬೀಘಾ ಜಮೀನ್
AAP KI KHATIR	ಆಪ್ ಕಿ ಖಾತಿರ್
BHATKHEDE	ಭಾತಖಡೆ
BENSONVALE COVENANT	ಬೆನ್ಸೋನ್ವಾಲೆ ಕೊವೆನೆಂಟ್
BALYOGI	ಬಾಲಯೋಗಿ
SHAUN	ಶೌನ್
EDDIE	ಎಡ್ಡೀ
Kalra	ಕಲ್ರಾ
BHONRA	ಭೋಂಗರಾ
SOORYAVANSHEE	ಸೂರ್ಯವಂಶೀ
LOTUS	ಲೋಟಸ್
GAAL GULABI NAIN SHARABI	ಗಾಲ್ ಗುಲಾಬೀ ನೈನ್ ಶರಾಬೀ
JAISAL	ಜೈಸಲ್
AMMARAH	ಅಮ್ಮಾರಾ
Pratima	ಪ್ರತಿಮಾ
KENA	ಕೇನ
SHOBHANA	ಶೋಭನಾ
BABA	ಬಾಬಾ
WEISSENBURG	ವೆಸಿನ್‌ಬರ್ಗ್
SHANBAREE	ಶಂಬರೀ
IMMANUEL BAPTIST	ಇಮ್ಯಾನುಯೆಲ್ ಬ್ಯಾಪ್ಟಿಸ್ಟ್
JAI MAHALAXMI	ಜೈ ಮಹಾಲಕ್ಷ್ಮಿ
SITAMADHI	ಸೀತಾಮಢಿ
TURKANA	ತುರ್ಕಾನಾ
VAIBHAV	ವೈಭವ
VAIBHAV	ವೈಭವ್
SHERMAN	ಶೆರ್ಮನ್
JASLEEN	ಜಸ್ಲೀನ್
MASHKOOR	ಮಶಕೂರ್
Achanak	ಅಚಾನಕ್
ARIYALUR	ಅರಿಯಲೂರ್
RONAT	ರೋನತ್
DHAMAN	ಧಮನ್
ANUHYA	ಅನೂಹ್ಯ
BURMAH ROAD	ಬರ್ಮಾ ರೋಡ್
BADDHNI	ಬದ್ಧನಿ
KRATZ	ಕ್ರೇಟ್ಸ್
BRISCOE	ಬ್ರಿಸ್ಕೊ
XALVADORA	ಜಾಲ್ವಡೊರಾ
Osanna	ಒಸನ್ನಾ
CARDIOME PHARMA CORPORATION	ಕಾರ್ಡಿಯೋಮ್ ಫಾರ್ಮಾ ಕಾರ್ಪೊರೇಶನ್
MUHAMMAD AHMAD	ಮುಹಮ್ಮದ್ ಅಹಮದ್
GRAEME WOOD	ಗ್ರೀಮ್ ವುಡ್
AANDHI AUR TOOFAN	ಆಂಧೀ ಔರ್ ತೂಫಾನ್
MILAN LINATE	ಮಿಲಾನ್ ಲೈನೇಟ್
TAPANI	ತಪನಿ
KISMAT PALAT KE DEKH	ಕಿಸ್ಮತ್ ಪಲಟ್ ಕೆ ದೇಖ್
BREAN DOWN FORT	ಬೀನ್ ಡೌನ್ ಫೋರ್ಟ್
ALIMA	ಅಲಿಮಾ
AN EVENING IN PARIS	ಆನ್ ಈವನಿಂಗ್ ಇನ್ ಪ್ಯಾರಿಸ್
PREM SANDESH	ಪ್ರೇಮ್ ಸಂದೇಶ್
HUZAYL	ಹುಜಯಾಲ್
ATLAS	ಅಟ್ಲಸ್
BIWII	ಬೀವೀ
COLIN STUART	ಕಾಲಿನ್ ಸ್ಟುವರ್ಟ್
INDIKA GALLAGE	ಇಂಡಿಕಾ ಗಲ್ಲಗೆ
AJWAAD	ಅಜ್ವಾಡ್
ICON	ಐಕಾನ್
ANOU IFFLIS	ಅನೌ ಇಫ್ಲಿಸ್
Parvatinandan	ಪಾರ್ವತಿನಂದನ್
SYRIA	ಸಿರಿಯಾ
SUMANAH	ಸುಮನಾ
DAVIDSON	ಡೇವಿಡ್ಸನ್
BETIRI	ಬೆಟಿರಿ
DARAGANJ	ದಾರಾಗಂಜ್
BHUGAON	ಭುಗಾವ್
BHATTI	ಭಟ್ಟಿ
VARYAG	ವಾರ್ಯಗ್
MUSAFIR KHANA	ಮುಸಾಫಿರ್ ಖಾನಾ
AMRITVEL	ಅಮೃತ್‌ವೆಲ್
JAIKWADI	ಜಾಯಕ್‌ವಾಡಿ
Louhara	ಲೌಹಾರಾ
KEN RUTHERFORD	ಕೆನ್ ರದರ್‌ಫರ್ಡ್
Irawati	ಇರಾವತಿ
KRASHNAA	ಕೃಷ್ಣಾ
SAXON SWITZERLAND	ಸ್ಯಾಕ್ಸನ್ ಸ್ವಿಟ್ಜರ್‌ಲ್ಯಾಂಡ್
ANTONIA	ಆಂಟೋನಿಯಾ
Warren	ವಾರೆನ್
VANBURN HOLDER	ವೇನ್ಬರ್ನ್ ಹೋಲ್ಡರ್
Sanjivani	ಸಂಜೀವನಿ
OLWEN	ಆಲ್ವೆನ್
VAAGEESHVAR	ವಾಗೀಶ್ವರ್
MAGDALEN	ಮ್ಯಾಗ್ದಲೆನ್
HEMANTHA WICKRAMARATNE	ಹೇಮಂತ ವಿಕ್ರಮರತ್ನೆ
CHAMAN	ಚಮನ್
TETON	ಟೆಟನ್
TETON	ಟೆಟಾನ್
SHANKAR PARVATI	ಶಂಕರ್ ಪಾರ್ವತಿ
PYAR KA SAGAR	ಪ್ಯಾರ್ ಕಾ ಸಾಗರ್
ABHINANDAN	ಅಭಿನಂದನ್
JUNIOR MURRAY	ಜೂನಿಯರ್ ಮುರೇ
HANSTE KHELTE	ಹಂಸತೇ ಖೇಲ್ತೇ
CANON DEL SUMIDERO	ಕೆನನ್ ಡೆಲ್ ಸುಮಿಡೆರೊ
ARATI	ಆರತಿ
DYSON	ಡೈಸನ್
Saalburg	ಸಾಲ್‌ಬರ್ಗ್
GANDAK	ಗಂದಕ್
ELKE	ಎಲ್ಕೆ
KEITH	ಕೀತ್
AMAGI	ಅಮಾಗಿ
SHAHBAZ QALANDER	ಶಹಬಾಜ್ ಖಲಂದರ್
RODNEY	ರಾಡ್ನೆ
BALALAIKA	ಬಲಲೈಕಾ
SOORAT	ಸೂರತ್
SEKHON	ಸೆಖೋನ್
SEVERINO	ಸೆವೆರಿನೊ
FORT TEJON	ಫೋರ್ಟ್ ತೆಜೋನ್
FAUSTINE	ಫಾಸ್ಟೀನ್
MAHFUZAH	ಮಹಫಜಾ
ARDHANGINI	ಅರ್ಧಾಂಗಿನಿ
DETROIT	ಡೆಟ್ರಾಯಿಟ್
SAMPATTI	ಸಂಪತ್ತಿ
OVCHARSKA SVIRKA	ಔಚಾರ್ಸ್ಕ ಸ್ವಿರ್ಕ
TRISTAN	ಟ್ರಿಸ್ಟನ್
Sunandini	ಸುನಂದಿನಿ
EK HI RAASTA	ಏಕ್ ಹೀ ರಾಸ್ತಾ
DEREK CROOKES	ಡೆರೆಕ್ ಕ್ರೂಕ್ಸ್
ACHALESWARA	ಅಚಲೇಶ್ವರ
MALDAAR	ಮಾಲದಾರ್
SCOTTISH FOOTBALL MUSEUM	ಸ್ಕಾಟಿಶ್ ಫುಟ್‌ಬಾಲ್ ಮ್ಯೂಸಿಯಂ
PINGAL	ಪಿಂಗಲ್
JONATHAN MILLMOW	ಜೊನಾಥನ್ ಮಿಲ್ಮೋ
Rand	ರೇಂಡ್
KHURAYMAH	ಖುರೇಮಾ
Skyepharma	ಸ್ಕೈಫಾರ್ಮಾ
DAFIYAH	ದಫಿಯಾ
THANA	ಥಾನಾ
GERMAN HISTORICAL MUSEUM	ಜರ್ಮನ್ ಹಿಸ್ಟಾರಿಕಲ್ ಮ್ಯೂಸಿಯಂ
JOHN POPAL	ಜಾನ್ ಪೋಪಾಲ್
EVETTE	ಇವೆಟ್
SONAL	ಸೋನಾಲ್
GERAINT JONES	ಗೆರೆಂಟ್ ಜೋನ್ಸ್
MATWALA	ಮತವಾಲಾ
MEGHALAYA	ಮೇಘಾಲಯ
CONTINENTAL TANGO	ಕಾಂಟಿನೆಂಟಲ್ ಟಾಂಗೊ
GUL SANOBAR	ಗುಲ್ ಸನೋಬರ್
Pratibandh	ಪ್ರತಿಬಂಧ್
KABEELA	ಕಬೀಲಾ
Mangan	ಮಂಗನ್
ARKANSAS	ಅರ್ಕಾನ್‌ಸಾಸ್
GUL SANOVAR	ಗುಲ್ ಸನೋವರ್
TURKEY TROT	ಟರ್ಕಿ ಟ್ರಾಟ್
YUYUTSU	ಯುಯುತ್ಸು
ZAKHMI SHER	ಜಖ್ಮೀ ಶೇರ್
RIKSHAWALA	ರಿಕ್ಷಾವಾಲಾ
PARK TOWER	ಪಾರ್ಕ ಟವರ್
ITO YOKADO	ಇಟೋ ಯಕಾಡೊ
ABDUL HASIB	ಅಬ್ದುಲ್ ಹಸೀಬ್
APOLLO HOSPITAL	ಅಪೋಲೋ ಹಾಸ್ಪಿಟಲ್
NAND KE LALA	ನಂದ್ ಕೆ ಲಾಲಾ
SHARDA	ಶಾರದಾ
GAHIREE	ಗಹಿರಿ
MERIDIAN SCHOOL	ಮೆರಿಡಿಯನ್ ಸ್ಕೂಲ್
CHEER LEADING	ಚೀರ್ ಲೀಡಿಂಗ್
AHMAD AL-BAKKAI AL-KUNTI	ಅಹಮದ್ ಅಲ್-ಬಕ್ಕಾಯ್ ಅಲ್-ಕುಂತಿ
ADESH	ಆದೇಶ್
MILLENNIUM TECHNOLOGY PRIZE	ಮಿಲೇನಿಯಮ್ ಟೆಕ್ನಾಲಜಿ ಪ್ರೈಜ್
CHOQUELLA	ಚೋಕೆಲಾ
MAIN AUR MERA HATHI	ಮೈ ಔರ್ ಮೇರಾ ಹಾಥಿ
LALITADITYA	ಲಲಿತಾದಿತ್ಯ
ACHYUTARAAY	ಅಚ್ಯುತರಾಯ
KAHEESHA	ಕಹೀಶಾ
CORLISS	ಕಾರ್ಲಿಸ್
GOVINDGARH MALK	ಗೋವಿಂದಗಢ್ ಮಲ್ಕ್
DEEN AUR IMAN	ದೀನ್ ಔರ್ ಇಮಾಮ್
MAWDUD	ಮಾವ್‌ದುದ್
BHARADWAJ	ಭಾರದ್ವಾಜ್
LARK	ಲಾರ್ಕ್
ROMAINE	ರೊಮೈನ್
BAJRANG	ಬಜರಂಗ್
KAPANI	ಕಪಾನಿ
DARRIUS	ಡಾರಿಯಸ್
CHHATRE	ಛಾತ್ರೆ
BHARATISHIPYARD	ಭಾರತಿಶಿಪ್‌ಯಾರ್ಡ್
SHAMOODAH	ಶಮೂದಾಹ್
VATS	ವತ್ಸ್
FORT AMSTERDAM	ಫೋರ್ಟ್ ಆಮ್‌ಸ್ಟರ್‌ಡ್ಯಾಮ್
TAKLAMAKAN	ತಕ್ಲಾಮಾಕನ್
SODI	ಸೋಢಿ
AMRAPALI	ಅಮ್ರಪಾಲಿ
AMRAPALI	ಅಮ್ರಪಾಲೀ
APARAAJIT	ಅಪರಾಜಿತ್
GIRIRAAJ	ಗಿರಿರಾಜ್
GAP	ಗ್ಯಾಪ್
Aegon	ಏಗಾನ್
AMANDA	ಅಮಂಡಾ
ELSIE	ಎಲ್ಸೀ
HEXAWARE	ಹೆಕ್ಸಾವೇರ್
FIROZA	ಫಿರೋಜಾ
ORDER OF VICTORY	ಆರ್ಡರ್ ಆಫ್ ವಿಕ್ಟರಿ
Laurent	ಲಾರೆಂಟ್
PRAVESH	ಪ್ರವೇಶ್
THYRA	ಥಾಯರಾ
RITVIK	ಋತ್ವಿಕ್
CARGILL	ಕಾರ್ಜಿಲ್
MALKA MARI	ಮಲ್ಕಾ ಮಾರಿ
MALIH	ಮಾಲೀ
VITRAN CORPORATION	ವಿಟ್ರಾನ್ ಕಾರ್ಪೊರೇಶನ್
TAKHAT SHRI AKAL TAKHAT SAHIB, AMRITSAR (PUNJAB)	ತಖ್ತ್ ಶ್ರೀ ಅಕಾಲ್ ತಖ್ತ್ ಸಾಹಿಬ್, ಅಮೃತಸರ (ಪಂಜಾಬ್)
POLISH-TURKISH WAR	ಪೋಲಿಶ್ ಟರ್ಕಿಶ್ ವಾರ್
DAUND JUNCTION	ದೌನ್ದ್ ಜಂಕ್ಷನ್
FARYADI	ಫರ್ಯಾದಿ
MUNAWWAR	ಮುನಾವ್ವರ್
Malinche	ಮಾಲಿಂಚಿ
Majitha	ಮಜಿಠಾ
FORT BEMBRIDGE	ಫೋರ್ಟ್ ಬೆಮ್‌ಬ್ರಿಡ್ಜ್
CAPTAIN	ಕ್ಯಾಪ್ಟನ್
DESH SHATRU	ದೇಶ್ ಶತ್ರು
ESTER IND	ಎಸ್ಟರ್ ಇಂಡ್
RAAKHEE	ರಾಖೀ
NARAYANA	ನಾರಾಯಣ
PRERANA	ಪ್ರೇರಣಾ
JHARNA	ಝರನಾ
BHAGAM BHAG	ಭಾಗಮ್ ಭಾಗ್
ARWA	ಅರ್ವಾ
SHELBY	ಶೆಲ್ಬಿ
ANURADHAA	ಅನುರಾಧಾ
SASTI DULHAN MAHENGA DOOLHA	ಸಸ್ತೀ ದುಲ್ಹನ್ ಮಹೆಂಗಾ ದುಲ್ಹಾ
Bidadi	ಬಿದಾದಿ
BALAAJEE	ಬಾಲಾಜೀ
WON	ವೋನ್
CICELY	ಸಿಸಿಲಿ
ION	ಇಯೋನ್
DARPAD	ದರ್ಪದ್
ABHISHOK	ಅಭಿಶೋಕ್
RAAHI BADAL GAYE	ರಾಹಿ ಬದಲ್ ಗಯೆ
GANJSHAKAR	ಗಂಜ್‌ಶಾಕರ್
HUDA	ಹುದಾ
LASITH	ಲಸಿತ್
MADADGAR	ಮದದ್‌ಗಾರ್
AMRIT MANTHAN	ಅಮೃತ್ ಮಂಥನ್
RADHESH	ರಾಧೇಶ
LAKSHMAN	ಲಕ್ಷ್ಮಣ
LAKSHMAN	ಲಕ್ಷ್ಮಣ್
TOKANTINS	ಟೋಕಾಂಟಿನ್ಸ್
ALEXIA	ಅಲೆಕ್ಸಿಯಾ
KABHI AJNABI THE	ಕಭೀ ಅಜನಬಿ ಥಿ
MARC ANTONY	ಮಾರ್ಕ್ ಆಂಟೋನಿ
TEJAS	ತೇಜಸ್
AJOOBA	ಅಜೂಬಾ
LOVE IN TOKYO	ಲವ್ ಇನ್ ಟೋಕ್ಯೋ
Navalakishor	ನವಲಕಿಶೋರ್
NEIL JOHNSON	ನೀಲ್ ಜಾನ್ಸನ್
Kirtikumar	ಕೀರ್ತಿಕುಮಾರ್
BHILAVDI	ಭಿಲಾವ್ಡಿ
GURBHAGAT	ಗುರುಭಗತ್
Ghumman	ಘುಮ್ಮನ್
SAINT COLUMBA'S SCHOOL, NEW DELHI	ಸೆಂಟ್ ಕೊಲಂಬಾಸ್ ಸ್ಕೂಲ್, ನ್ಯೂ ಡೆಲ್ಲಿ
FORT WOOL	ಫೋರ್ಟ್ ವುಲ್
KAUMAJET	ಕೌಮಾಜೆಟ್
SUPREME PETRO	ಸುಪ್ರೀಂ ಪೆಟ್ರೋ
FULLER	ಫುಲರ್
FULLER	ಫುಲ್ಲರ್
APPU RAJA	ಅಪ್ಪು ರಾಜಾ
ADVENT CHRISTIAN	ಆಡ್ವೆಂಟ್ ಕ್ರಿಶ್ಚಿಯನ್
GYTERNE	ಗೈಟರ್ನ್
RAMANDEEP	ರಮಣದೀಪ್
GANGAN	ಗಂಗಣ್
Sardar	ಸರದಾರ್
SOUTHERN ILLINOIS UNIVERSITY	ಸದರ್ನ್ ಇಲಿನಾಯ್ಸ್ ಯುನಿವರ್ಸಿಟಿ
SHAKURAH	ಶಕುರಾ
PEHLI	ಪಹಲೀ
MEMPHIS	ಮೆಂಫಿಸ್
CHANDIKA	ಚಂದ್ರಿಕಾ
GORIYAN	ಗೊರಿಯಾನ್
SILVERLINE	ಸಿಲ್ವರ್‌ಲೈನ್
RAWH	ರೌಹ್
FORT LOVRIJENAC	ಫೋರ್ಟ್ ಲೌರಿಜೆನಕ್
Bhangu	ಭಂಗೂ
DAVE RICHARDSON	ಡೇವ್ ರಿಚರ್ಡ್ಸನ್
BANSIPUR	ಬನ್ಸಿಪುರ್
DEVEE	ದೇವೀ
SUPEKAR	ಸುಪೇಕರ್
VATSAL	ವತ್ಸಲ್
BAMBAI WALI	ಬಂಬಾಯ್ ವಾಲಿ
NIZAMUDDIN AULIYA	ನಿಜಾಮುದ್ದೀನ್ ಔಲಿಯಾ
KANSAS	ಕನ್ಸಾಸ್
PUNARJANAM	ಪುನರ್ಜನ್ಮ್
SHAKIRAH	ಶಕೀರಾ
Adoni	ಆದೋನಿ
HYUNDAI MOTOR	ಹ್ಯುಂಡೈ ಮೋಟರ್
KAALEECHARAN	ಕಾಳೀಚರಣ್
AANKH KA TARA	ಆಂಖ್ ಕಾ ತಾರಾ
LETTERHEID	ಲೆಟರ್‌ಹೆಡ್
Athabasca	ಅಥಾಬಾಸ್ಕಾ
TIPLE	ಟಿಪ್ಲ್
KWACHA	ಕ್ವಾಚ
KWACHA	ಕ್ವಾಚಾ
Shu'aa	ಶುವಾ
ANDREW PUTTICK	ಆಂಡ್ರ್ಯೂ ಪುಟಿಕ್
MUNGRE	ಮುಂಗ್ರೆ
JOHN KENNETH GALBRAITH	ಜಾನ್ ಕೆನೆತ್ ಗಾಲ್ಬ್ರೆಥ್
PETHKAR	ಪೇಠ್ಕರ್
CHARLENE	ಚಾರ್ಲಿನ್
Vikramjit	ವಿಕ್ರಮಜಿತ್
AMITAA	ಅಮಿತಾ
GUNTUR	ಗುಂಟೂರು
ANANDINEE	ಆನಂದಿನೀ
Vartan	ವರ್ಟನ್
HUM HINDUSTANI	ಹಮ್ ಹಿಂದೂಸ್ತಾನೀ
GLENMARK PHARMACEUTICALS	ಗ್ಲೆನ್ಮಾರ್ಕ್ ಫಾರ್ಮೆಸಿಟಿಕಲ್ಸ್
RASIA	ರೇಸಿಯಾ
URMILA	ಊರ್ಮಿಳಾ
AGAATHA	ಅಗಾಥ
KACHCHE HEERE	ಕಚ್ಚೆ ಹೀರಾ
KAISHORI	ಕೈಶೋರಿ
WAHIDUL GANI	ವಹಿದುಲ್ ಗನಿ
DALMERA	ದಲ್ಮೇರಾ
JOHAR IN KASHMIR	ಜೋಹರ್ ಇನ್ ಕಾಶ್ಮೀರ್
OARATHUPPALAYAM	ಒರಾಥುಪ್ಪಾಯಮ್
JIRAIR	ಜಿರೈರ್
ZOLTAN	ಝೋಲ್ಟನ್
BALAFON	ಬಲಫೋನ್
ORDER OF SUVOROV	ಆರ್ಡರ್ ಆಫ್ ಸುವೊರೊವ್
CITYGROUP CENTRE	ಸಿಟಿಗ್ರುಪ್ ಸೆಂಟರ್
TREND MICRO INCORPORATED	ಟ್ರೆಂಡ್ ಮೈಕ್ರೋ ಇನ್ಕಾರ್ಪೊರೇಟೆಡ್
REON KING	ರಿಯೋನ್ ಕಿಂಗ್
GONDHALEKAR	ಗೋಂಧಾಳೆಕರ್
BAHUT DIN HUE	ಬಹುತ್ ದಿನ್ ಹುಯೆ
MANGATARAAM	ಮಂಗತರಾಮ್
KHALEEL	ಖಲೀಲ್
BORKAR	ಬೋರಕರ್
BORKAR	ಬೋರ್ಕರ್
BAMBOO	ಬಾಂಬೂ
GEORGE HARRISON	ಜಾರ್ಜ್ ಹ್ಯಾರಿಸನ್
JALLAD	ಜಲ್ಲಾದ್
LEI YUE MUN FORT	ಲೈ ಯು ಮುನ್ ಫೋರ್ಟ್
ROGER TELEMACHUS	ರೋಜರ್ ಟೆಲಿಮಚುಸ್
Jetta	ಜೆಟ್ಟಾ
HWANGE	ಹ್ವಾಂಗೆ
AMU DARYA	ಅಮು ದರ್ಯಾ
MIKE HENDRICK	ಮೈಕ್ ಹೆಂಡ್ರಿಕ್
Sprague	ಸ್ಪ್ರೇಗ್
ZUHOOR	ಜುಹೂರ್
BABA REXHEB	ಬಾಬಾ ರೆಕ್ಸೆಬ್
HARARE	ಹರಾರೆ
ALTAIR NANOTECHNOLOGIES	ಆಲ್ಟೇರ್ ನ್ಯಾನೋಟೆಕ್ನಾಲಜೀಸ್
GURTEJ	ಗುರುತೆಜ್
CHANDLODIYA	ಚಂದಲೋದಿಯಾ
ARYA	ಆರ್ಯ
NAZIMA	ನಜೀಮಾ
DAVE FORT	ದಾವ್ ಫೋರ್ಟ್
ANILATMAJ	ಅನಿಲಾತ್ಮಜ್
BHONDAVE	ಭೋಂಡಾವೆ
RUPAIYA	ರುಪಯ್ಯಾ
SHACHEE	ಶಚೀ
Galena	ಗೆಲೆನಾ
Kenisha	ಕೆನಿಷಾ
RESHAM KI DORI	ರೇಶಮ್ ಕಿ ಡೋರಿ
ROMANTIC INDIA	ರೊಮ್ಯಾಂಟಿಕ್ ಇಂಡಿಯಾ
PRABHU	ಪ್ರಭು
IBERDROLA	ಈಬರ್ಡ್ರೋಲಾ
YOSEMITE	ಯೋಸಿಮೈಟಿ
NEWCASTLE UNIVERSITY	ನ್ಯೂಕ್ಯಾಸಲ್ ಯುನಿವರ್ಸಿಟಿ
DESMOND	ಡೆಸ್ಮೊಂಡ್
DEPINDER	ದಿಪಿಂದರ್
ABDUS SAMEEI	ಅಬ್ದುಸ್ ಸಮೀ
DANISH	ಡ್ಯಾನಿಶ್
Manjula	ಮಂಜುಳಾ
SINGHASAN	ಸಿಂಹಾಸನ್
