NADHIR	நாதிர்
IN'AM	இன்'ஆம்
Kalabaaz	கலாபாஸ்
WAR OF THE SECOND COALITION	வார் ஆப் த செக்கண்ட் கோயாலிஷன்
Rajmahal	ராஜ்மஹால்
CLAIRE	கிளைர்
DAVID CAPEL	டேவிட் காபெல்
SAJJAD AKBAR	சஜ்ஜத் அக்பர்
DHODA KHEDI	தோடா கேதி
GERATPUR	கெராட்பூர்
GUSTAVO	குஸ்தவோ
DURDANAH	தர்தனா
PROCTER	பிராக்டர்
BHUMIKA	புமிகா
BRIJESH PATEL	பிரிஜேஷ் பட்டேல்
AGNIKAAL	அக்னிகால்
CANTARA	சான்தாரா
WAGGONER	வகோனர்
BHITAURA	பிடவுரா
JANSATTA	ஜான்சாட்டா
JAAVDEKAR	ஜாவ்தேகர்
LINDA TRIP	லிண்டா ட்ரிப்
MITESH	மிதுல்
FORD MOTOR	போர்ட் மோட்டார்
MERI AWAAZ SUNO	மேரி ஆவாஸ் சுனோ
ALAM ARA KI BETI	ஆலம் அரா கி பேட்டி
CHIKODI ROAD	சிடோக்கி ரோட்
NATIONAL PUBLIC SCHOOL	நேஷனல் பப்ளிக் ஸ்கூல்
SADAK CHHAP	சதக் சாப்
EVERLY	எவர்லி
BOB MASSIE	பாப் மாஸ்ஸி
GURUDWARA RITHA SAHIB	குருத்வாரா ரீட்டா சாஹிப்
AMEERI GAREEBI	அமீரி கரீபி
UDAYSHANKAR	உதய்சங்கர்
FLEX INDUSTRIES	ஃப்ளெக்ஸ் இண்டஸ்ட்ரீஸ்
BROOKS	புரூக்ஸ்
NEWS CORP	நியூஸ் கார்ப்
RAAZ	ராஸ்
AJEEBAH	அஜீபா
BOWER	பாவர்
FAKHRABAD	ஃபக்ராபாத்
VENEZUELA	வெனிசூலா
NAAZ	நாஸ்
BRUCE SPRINGSTEEN	ப்ரூஸ் ஸ்ப்ரிங்ஸ்டீன்
ANAR BALA	அனர் பாலா
SHU'AA	ஷுவா
Lear	லியர்
MAHABALA	மஹாபாலா
CIGNA	சிக்னா
ZULAYM	ஜுலேய்ம்
ZAPORIZHIAN SICH	ஸாபோரிஸியான் ஸிச்
ABEERAA	அபீரா
ESSAR OIL	எஸ்ஸார் ஆயில்
UKKUSIKSALIK	உக்குசிக்சாலிக்
AKHILA	அகிலா
JAMBHEKAR	ஜம்பேகர்
SHARAFAT	ஷராஃபத்
SHARAFAT	ஷாராஃப்பத்
AVRIL	அவ்ரில்
ASHWIN	அஷ்வின்
WAQT KE SHAHZADE	வக்த் கே ஷாஹ்ஸாதே
CHETTINAD	செட்டிநாட்
CHAKRI NAREUBET	சக்ரி நாரேய்பெட்
PARAS	பாரஸ்
MUSASHI	முஸாஷி
ROSA	ரோஸா
DRAGON	ட்ராகன்
VYOMESH	வியோமேஷ்
PARAU	பாரவ்
SOOLAGIRI CHINNAR RESERVOIR	சூலகிரி சின்னார் ரிசர்வாயர்
BATON BATON MEIN	பதோன் பதோன் மெயின்
Atnu	அட்னு
GOOTY	கூட்டி
MAHABAL	மஹாபல்
PARAG	பராக்
CONDE NAST BUILDING	கோன்ட் நாஸ்ட் பில்டிங்
KIRLOSKAR	கிர்லோஸ்கர்
LEONA	லியோனா
GARY CROCKER	கேரி க்ராக்கர்
Candida	கேன்டிடா
FORT PEPPERRELL	ஃப்போர்ட் பெப்பரெல்
GARCHA	கார்ச்சா
FREEMAN	ஃப்ரீமேன்
SAAFALE	ஸாபலே
BAHARIA	பஹாரியா
AMATULLAH	அமாடுல்லா
CLEMENT	கிளமண்ட்
CLEMENT	கிளெமண்ட்
Bhangra	பாங்ரா
PAROMA	பரோமா
BUNANAH	புனானா
Corbett	கார்பெட்
PATIL	பாட்டில்
PHIR JANAM LENGE HUM	பிர் ஜனம் லெங்கே ஹம்
COURT	கோர்ட்
BRITAIN	ப்ரிட்டன்
SHIRLYN	ஷிர்லின்
GURUDWARA SAHIBDEWA	குருத்வாரா சாஹிப்தேவா
SUGANDH	சுகந்த்
ABHIJVALA	அபிஜ்வலா
MUKESH	முகேஷ்
WAFIQ	வஃபிக்
PHAEDRA	ஃபேத்ரா
ACHARYNANDANA	ஆசார்யனான்தனா
BERAHAM DAKU	பெராஹம் தாக்கு
ROTI KI KEEMAT	ரோட்டி கி கீமத்
YADU	யது
FULTON	ஃப்புல்டன்
VARAN	வரன்
SAHAJA	சஹஜா
EK NAI LADKI	ஏக் நய் லட்கி
HYDE	ஹைட்
Panikarn	பணிகரண்
HEERAALAAL	ஹீராலால்
KOHRA	கொஹ்ரா
WORLD ASSOCIATION OF NEWSPAPERS'S GOLDEN PEN OF FREEDOM AWARD	வோர்ல்ட் அசோசியேஷன் ஆஃப் நியூஸ்பேப்பர்ஸ் கோல்டன் பென் ஆஃப் ஃப்ரீடம் அவார்ட்
FORBES MEDI-TECH	போர்ப்ஸ் மெடி-டெக்
FORT HONSWIJK	ஃப்போர்ட் ஹான்ஸ்விஜ்க்
FORT WARREN	ஃப்போர்ட் வார்ரென்
SARAS	சரஸ்
GUMASTA	குமாஸ்தா
ADINATH	அதினாத்
ENTERPRISE	என்டர்பிரைஸ்
CONDECORACION MIGUEL HIDALGO	காண்டெஷோரேசியன் மிக்வெல் ஹிடால்கோ
ZAYBA	ஜேபா
BETTY	பெட்டி
TRIPTA	த்ருப்தா
GOVINDI	கோவிந்தி
ODELIA	ஓடிலியா
SOUTHERN VERMONT NATURAL HISTORY MUSEUM	சதர்ன் வெர்மான்ட் நாச்சுரல் ஹிஸ்டரி மியூஸியம்
SARAN	சரண்
ISHITA	ஐஷிதா
ALPESH VADHER	அல்பேஷ் வாதெர்
LESLEY	லெஸ்லி
PEHLI JHALAK	பெஹ்லி ஜாலக்
BINA JUNCTION	பினா ஜங்ஷன்
OSSAMA	ஓஸ்ஸாமா
ZAREENAH	ஜரீனா
FISHING	ஃபிஷிங்
NUSRAT	நுஸ்ரத்
MOTI KA HAAR	மோதி கா ஹார்
HAAFIZ SHAHID	ஹாஃபிஸ் ஷாஹித்
Mirsab	மிர்ஸாப்
PUSHPESHU	புஷ்பேஷு
NEBRASKA	நெபிராஸ்கா
HORSE RIDING	ஹார்ஸ் ரைடிங்
BHOKE	போக்கே
SCHNIEDER ELECTRIC	ஷ்னைடர் எலக்ட்ரிக்
HUXLEY	ஹக்ஸ்லி
MANKU	மன்கு
DHARMENDU	தர்மேந்த்ரு
Charulata	சாருலதா
Relativity	ரிலேடிவிட்டி
MANCHESTER	மான்செஸ்டர்
FAKHRUDDIN IRAQI	ஃப்பக்ருத்தீன் ஈராக்கி
AAO PYAR KAREN	ஆவோ பியார் கரேன்
MALAGA	மலாகா
AAQIL	ஆகுல்
HARJAEE	ஹர்ஜாயி
MERI JUNG	மேரி ஜங்
KUDRAT KA KANOON	குத்ராத் கா கானூன்
APARAJITA	அபராஜித்தா
Zofia	ஜோஃபியா
PHIL DEFREITAS	பில் டிஃப்பிரேடாஸ்
GUADELOUPE	குவாடெலோப்
WACOAL HOLDINGS CORPORATION	வாகோல் ஹோல்டிங்க்ஸ் கார்ப்பரேஷன்
BRANDENBURG	பிரான்டென்பர்க்
BAGHAWI	பகாவி
NAQID	நாகித்
BAHLAWAN	பஹல்வான்
AADMI AUR APSARA	ஆத்மி அவுர் அப்சரா
INTISAR	இன்டிசார்
TONBACK	டோன்பேக்
Bharat	பாரத்
JAHURA	ஜாஹூரா
Prithviraj	ப்ரித்விராஜ்
SINDHUR	சிந்துர்
SHAILI	ஷைலி
RICHARD ELLISON	ரிச்சர்ட் எல்லிசன்
Baadbaan	பாத்பான்
BRAZOSPORT CHRISTIAN CENTER	பிராஸோஸ்போர்ட் கிறிஸ்டியன் சென்டர்
HAMARA DESH	ஹமாரா தேஷ்
THE AUSTRALIAN/VOGEL LITERARY AWARD	தி ஆஸ்ட்ரேலியன்/வோகல் லிட்ரரி அவார்ட்
NATIONAL BOOK CRITICS CIRCLE AWARD	நேஷனல் புக் க்ரிட்டிக்ஸ் சர்கிள் அவார்ட்
DOODH KA KARZ	தூத் கா கர்ஸ்
JITTERBUG	ஜிட்டர்பக்
AKMAL	அக்மல்
PRAGYAWATI	ப்ரக்யவதி
INKAAR	இன்கார்
SARANYA	சரண்யா
YUKON	யூகான்
BEKRAR	பெக்ரார்
DOREL INDUSTRIES	டோரல் இண்டஸ்டிரீஸ்
JATIN	ஜதின்
MADHUK	மதுக்
AMALSAD	அமல்சாத்
PRAYITSU	ப்ரயித்சு
CHAMPA KALI	சம்பா காளி
ASUNCION	அசுன்சியன்
Alcoa	அல்கோவா
NEODYMIUM	நியோடிமியம்
Avtaar	அவ்தார்
DHARAM KANTA	தரம் காந்தா
MAILI	மயிலி
SHUCHI	ஷுச்சி
MASOOM	மாஸூம்
CALLUM	காலும்
QADAM	கடம்
RITADHVAJ	ரிதாத்வாஜ்
MILLIMES	மில்லிமெஸ்
THOMAS PAINE	தாமஸ் பேய்ன்
BUNDESVERDIENSTKREUZ	புண்டஸ்வெர்டீன்ஸ்ட்க்ரூஸ்
ARU	அரு
BHAKT DHRUV KUMAR	பக்த் துருவ் குமார்
GHORADONGRI	கோராடோங்ரி
CALLIOPE	காலியோப்
MUKTAAPRASU	முக்தாப்ரசு
JAIWANT	ஜெய்வந்த்
CHROMIUM	க்ரோமியம்
PEKING UNIVERSITY	பெகிங் யூனிவர்சிட்டி
CHAL CHAL RE NAUJAWAN	சல் சல் ரே நௌஜவான்
LIHIR GOLD, LIMITED	லிஹிர் கோல்டு, லிமிடெட்
ABDUL MUHASIN	அப்துல் முஹசின்
NOVELLO	நாவெலோ
SAKHI ROBIN	சகி ராபின்
SHOLA JO BHADKE	ஷோலா ஜோ பாட்கே
PIGGOTT	பிக்காட்
ALSATIA	அல்சாஷியா
FORT TOWNSEND	ஃப்போர்ட் டவுன்சென்ட்
SULAKSHANA	சுலக்ஷனா
PUNAR MILAN	பூனர் மிலன்
CHINESE PETROLEUM	சைனீஸ் பெட்ரோலியம்
HATIM	ஹதிம்
DHIYA	தியா
KARSAN GHAVRI	கர்ஸன் காவ்ரி
DON JUAN MATUS	டான் ஜுவான் மாதுஸ்
DEVPURA	தேவ்பூரா
UNIVERSITY OF MISSOURI	யூனிவர்சிட்டி ஆஃப் மிசோரி
JESLYN	ஜெஸ்லின்
JO ANGEL	ஜோ ஏஞ்சல்
Sona	சோனா
OORJIT	ஊர்ஜித்
MEDZHYBIZH	மெட்ஸிபிஸ்
QUADE	குவேத்
Iona	ஐஓனா
MERA SALAAM	மேரா ஸலாம்
INFLEXIBLE	இன்ஃபிளெக்ஸிபிள்
Aruni	அருணி
KING OF CARNIVAL	கிங் ஆஃப் கார்னிவல்
PITAMAH	பிதாமஹ்
AAYUSH	அய்ஷா
BAQIR	பாக்கிர்
PRIVATE LIFE	பிரைவெட் லைஃப்
KAALAHAR	காலாஹர்
HENRI	ஹென்ரி
MARZUQ	மர்ஸுக்
DOUG WALTERS	டவுக் வால்ட்டர்ஸ்
DOOSRI DULHAN	தூஸ்ரி துல்ஹன்
PURNIMA	புர்னிமா
ABDUR RAZZAK	அப்துர் ராஸ்ஸாக்
RELF	ரெலஃப்
ISMAH	இஸ்மா
AMAREESH	அமாரீஷ்
FASEEH	ஃபஸீஹ்
OWAIS	ஓவைஸ்
JACINDA	ஜெசிந்தா
ELYSIA	எலிஷியா
CHARLOT	சார்லட்
KARAN	கரன்
KARAH	காரா
KAROREPATI	கரோர்பதி
ADISHREE	ஆதிஸ்ரீ
HARISINGAR	ஹரிசிங்கர்
MUSHFIQ	முஷ்ஃபிக்
MANIPURI	மணிபூரி
MANIPURI	மணிப்பூரி
NAJMA	நஜ்மா
ROBBIE HART	ராபி ஹார்ட்
MERRIMACK	மெர்ரிமாக்
DYSIS	டைசிஸ்
KEPHART UNITED METHODIST	கெபர்ட் யுனைட்டெட் மெதோடிஸ்ட்
SUNDHA	சுந்தா
KATIE	கேட்டி
AGATHA	அகாதா
AAJ KA ROBINHOOD	ஆஜ் கா ராபின்ஹூட்
NASAMAJH	நாஸ்ம்ஜ
QUITAIPLAS	க்விடாய்ப்லாஸ்
BHEESHM	பீஷ்ம
KEKARE	கேகரே
HOPE	ஹோப்
SIMEON	சிமியோன்
LYNETTE	லினெட்
PEARL	பேர்ல்
Unity	யுனிடி
KULLURSANDAI RESERVOIR	குல்லுர்சந்தை ரிசர்வாயர்
QUICKSTEP	குயிக்ஸ்டெப்
JAMMU	ஜம்மூ
KAMLA KI MAUT	கம்லா கி மௌத்
PREM PUJARI	பிரேம் புஜாரி
THE CARPER AWARD	தி கார்பர் அவார்ட்
VRASHAL	விராஷல்
HARE KANCH KI CHURIYAN	ஹரே கன்ச் கி சுரியான்
SHOAIB MOHAMMAD	ஷோயப் மொஹம்மத்
KARLSBORG FORTRESS	கார்ல்ஸ்போர்க் ஃப்போர்ட்ரெஸ்
SHINYO	ஷின்யோ
DAHEJ	தஹேஜ்
PATANG	பதங்
MALKANGIRI	மல்கன்கிரி
HANOVER	ஹானோவர்
AHMADNAGAR	அஹ்மத்நகர்
Antarah	அன்தராஹ்
THEA	தியா
HIBAAH	ஹிபா
WEST BENGAL	வெஸ்ட் பெங்கால்
KAPILA	கபில்லா
AGRA ROAD	ஆக்ரா ரோட்
MUHAMMADEE	முஹம்மதி
CENTENNIAL	செண்டனியல்
JEEVANLATA	ஜீவன்லதா
ALAN CONNOLLY	ஆலன் கோனொல்லி
Mauritania	மவுரிடானியா
MILLMOW	மில்மெள
IMRAN KHAN	இம்ரான் கான்
BANKA	பங்கா
LALITMOHAN	லலித்மோகன்
DILAWARNAGAR	திலவார்நகர்
AATIK	ஆதிக்
CYBIL	சிபில்
LAUWERSHOEK	லாவ்வெர்ஷூயிக்
MILWAUKEE	மில்வாவ்கி
Tertius	டெர்டியஸ்
BRAHMADUTT	ப்ரம்மதத்
Rachna	ரச்னா
DEVANG	தேவங்
KHATAVKAR	கதவ்கர்
VESTE OBERHAUS	வெஸ்டெ ஓபெஹாஸ்
STEVE	ஸ்டீவ்
INDERDEEP	இந்தர்தீப்
DEPAUW UNIVERSITY	டிபாவ் யூனிவர்சிட்டி
VARITAA	வரிதா
Rich	ரிச்
FORRESTER	ஃபாரஸ்டர்
PAOLO	பாவோலா
VIRAJ	விரஜ்
SUNANDINI	சுனந்தினி
RAGHUBIR	ரகுபிர்
RAAJATARU	ராஜதரு
PHOOL KHILE HAIN GULSHAN GULSHAN	ஃப்பூள் கிளே ஹைன் குல்ஷான் குல்ஷான்
MUSAFIR KHANA	முஸாஃப்பிர் கன்னா
WARREN COMMUNITY	வாரன் கம்யுனிட்டி
Ur	உர்
IBIZA	இபிஸா
DAHANA	டஹானா
SHAREEF	ஷரீஃப்
ANDREAS	ஆன்டிரியாஸ்
ULLAS	ஊல்லாஸ்
MENDELEVIUM	மென்டெலேவியம்
RADCOM	ராட்காம்
DUGGAD	டுக்காட்
KIRKAN	கிர்கான்
DO KHILADI	தோ கிலாடி
CORINTH	கொரின்த்
STATE B BIKANER	ஸ்டேட் பேங்க் ஆஃப் பிக்கானர்
CONLEY	கோன்லி
CHAMUNDESHWARI	சாமுண்டேஷ்வரி
ABHIMODA	அபிமோதா
DANZON	டான்ஸன்
NAEEMA	நயீமா
KAUN? KAISEY?	கோன்? கெய்சே?
SARDANA	சர்தானா
NOAKES	நோயேக்ஸ்
DHARMATMA	தர்மாத்மா
BHAINI KHURD	பயினி குர்த்
BHAGEGA	பகேகா
SHAWM	ஷாம்
BAKARAH	பகரா
PAUL JARVIS	பால் ஜார்விஸ்
SHAWN	ஷான்
CASSARA	கஸ்ஸாரா
Butewala	புட்டேவாலா
HORSCRAFT	ஹார்ஸ்கிராஃப்ட்
DATIA	டாதியா
DATIA	தாட்டியா
Himalaya	ஹிமாலயா
GWENDOLYN	க்வென்டோலின்
VIJAY YADAV	விஜய் யாதவ்
ANISE	அனிஸ்
DILDARNAGAR JUNCTION	தில்தர்நகர் ஜங்ஷன்
CHARLES MARTEL	சார்லஸ் மார்டெல்
LAXMAN SIVARAMAKRISHNAN	லக்ஷ்மன் சிவராமாகிருஷ்ணன்
ANISH	அனீஷ்
Forint	போரிண்ட்
MARIGOLD	மேரிகோல்ட்
ASHTPUTRE	அஷ்புத்ரே
Anupshahr	அனுப்ஷார்
CHARBAGH RAILWAY STATION	சர்பாக் ரெயில்வே ஸ்டேஷன்
HIGHLANDS	ஹைலாண்ட்ஸ்
TOPPAN PRINTING	டாப்பன் பிரிண்டிங்
THROGS NECK	திராக்ஸ் நெக்
RUMFORD PRIZE	ரம்ஃபோர்ட் ப்ரைஸ்
GANGA TERA PANI AMRIT	கங்கா தேரா பாணி அம்ரித்
SHABAB	ஷபாப்
SHABAB	ஷாபாப்
ANBURAAJ	அன்புராஜ்
CHALIS CHOR	சாலிஸ் சோர்
BAHULA	பஹுலா
Laptev	லாப்டெவ்
AMERGIN	அமெர்ஜின்
MANSITE	மான்சைட்
Tura	தூரா
BARAN	பாரான்
ALICIA	அலிஷியா
DHANSUKH	தன்சுக்
RUPYE KI KAHANI	ருப்யே கி கஹானி
Gihlan	கிஹ்லான்
RAJ NANDINI	ராஜ் நந்தினி
KEENA	கீணா
HAMAJOLEE	ஹமஜோலீ
BARAR	பாரார்
JAFAR	ஜாஃபர்
GURUDWARA DATA BANDI CHHOD	குருத்வாரா தாதா பண்டி சாஹிப்
LOVETTE	லோவெட்டே
SEORAS	சியோரஸ்
LOVE IN SIMLA	லவ் இன் சிம்லா
ABHIMANYUSUT	அபிமன்யூசுத்
SHAMBHU	ஷாம்பு
ABDUL WALI	அப்துல் வாலி
KALI BASTI	காளி பஸ்தி
Minsk	மின்ஸ்க்
COMMERZBANK ZENTRALE	காமர்ஸ்பேங்க சென்ட்ரல்
GHALODI	காலோடி
DUMHAL	தும்ஹால்
DAYAR-E-HABIB	தயார்-ஏ-ஹபிப்
VERMONT	வெர்மாண்ட்
RIORDAN	ரியோர்தன்
LEENA	லீனா
ORDER OF NATIONAL ESTABLISHMENT MERIT	ஆர்டர் ஆஃப் நேஷனல் எஸ்டாப்ளிஷ்மெண்ட் மெரிட்
TEAGUE	டீக்
SUZY	சுஸி
RANDOLPH	ராண்டோல்ப்
RANDOLPH	ரான்டால்ப்
NAMAK HARAM	நமக் ஹராம்
HAITIAN REVOLUTION	ஹைடியன் ரெவல்யூஷன்
JOSEPH T. DICKMAN	ஜோசப் டி. டிக்மேன்
TUGHLAQABAD	துக்லகாபாத்
LAKSHMIBANTA	லக்ஷ்மிபந்தா
BAHARON KE SAPNE	பயரோன் கே சாப்னே
KHALDUN	கால்துன்
GILLER PRIZE	கில்லர் ப்ரைஸ்
Khiladi	கிலாடி
THE HUMBER FORTS	தி ஹம்பர் ஃப்போர்ட்ஸ்
HOME DEPOT	ஹோம் டிப்போ
MICHAEL CRICHTON	மைக்கேல் க்ரிச்டன்
AGNEE	அக்னீ
DUDHIA KHURD	டுத்தியா குர்த்
SANGDIL SAMAJ	சங்தில் சமாஜ்
NAVBHARAT TIMES	நவ்பாரத் டைம்ஸ்
RIANNE	ரியன்னா
BAMAKO	பமகோ
HIRAA	ஹிரா
NITYAPRIYA	நித்யப்ரியா
SALAHUDDIN AHMED	ஸாலாஹுத்தின் அஹ்மத்
DOOR GAGAN KI CHHAON MEIN	தூர் ககன் கி சஹோன் மெயின்
Aulavik	ஔலாவிக்
DEVINDER	தேவிந்தர்
ASHA	அஷா
ASHA	ஆஷா
KALLOL	கல்லோல்
DAURAM MADHPURA	தௌரம் மத்பூரா
GURSIMAN	குர்ஸிமான்
AGNI SAKSHI	அக்னி சாக்ஷி
BALAJI TELEFILM	பாலாஜி டெலிஃபிலிம்
KAMALAKAR	கமலாகார்
KURT WILKINSON	கர்ட் வில்கின்சன்
SHAMBHAVI	ஷாம்பவி
ECONOMIC	எக்கானமிக்
JAANI DOST	ஜானி தோஸ்த்
NAVANEETA	நவனீதா
COMPASS GROUP	காம்பஸ் குரூப்
FARAJ	ஃபராஜ்
AGRO TECH FOODS	ஆக்ரோ டெக் ஃபுட்ஸ்
RAVIJ	ரவிஜ்
CRISPIN	கிரிஸ்பின்
MATRIX LAB	மேட்ரிக்ஸ் லேப்
DHIMAN	திமன்
Bulgaria	பல்கேரியா
ANDREW JONES	ஆன்ட்ரூ ஜோன்ஸ்
BENNINGTON	பென்னிங்டன்
FARAZ	ஃபராஸ்
CREDA	க்ரேடா
SHAKUNI	ஷகுனி
FATIH	ஃபதீஹ்
NOYES HOUSE MUSEUM	நாயெஸ் ஹவுஸ் மியூஸியம்
CAMBREE	கேம்ப்ரீ
AURORA	அரோரா
AURORA	ஆரோரா
Nagato	நாகாடோ
UNIVERSITY OF ABERDEEN	யுனிவர்சிட்டி ஆஃப் அபர்தீன்
LIGHT HOUSE	லைட் ஹவுஸ்
COTTAGE GROVE CHRISTIAN REFORMED	காட்டேஜ் குரோவ் கிறிஸ்டியன் ரிபார்ம்ட்
Decker	டெக்கர்
JANARDAN	ஜனார்தன்
KEOLADEO GHANA	கியோலாடியோ கானா
VALERO ENERGY	வாலெரோ எனர்ஜி
BHIM GARJANA	பீம் கர்ஜனா
OFFICE DEPOT	ஆஃபீஸ் டிப்போ
DHOLA MAZRA	தோலா மஸ்ரா
NISBAT	நிஸ்பத்
TANUJA	தனுஜா
DORA	டோரா
RAMGADIA	ராம்காதியா
ATREYA	அட்ரேயா
MAHMOOD HAMID	மஹ்மூத் ஹமீத்
ABDUL ZALIL	அப்துல் ஸாலில்
KAFAN	கஃபன்
KAAMAGNI	காமாக்னி
LUCKY NUMBER	லக்கி நம்பர்ஸ்
RATNAPRIYA	ரத்னபிரியா
STAN	ஸ்டன்
KIRSTEN	கேர்ஸ்டென்
Atacama	அடகாமா
NAOMI AWARDS	நாவோமி அவார்ட்ஸ்
MERIEL	மேரியல்
SHREE RAM AVTAR	ஸ்ரீ ராம் அவ்தார்
LAWAATE	லவாதே
NEEPA	நீபா
BHUBANESWAR	புவனேஸ்வர்
KAMALESH	கமலேஷ்
WRIGHT	ரைட்
KENNETH	கென்னத்
CHINA MOBILE COMMUNICATIONS	சீனா மொபைல் கம்யூனிக்கேஷன்ஸ்
HAMMAM	ஹம்மம்
HUM KAHAN JA RAHE HAIN	ஹம் கஹான் ஜா ராஹே ஹெயின்
BAKER	பேகர்
POTHOHAR	போதோஹர்
FORBES GOKAK	ஃபோர்ப்ஸ் கோகாக்
Walter	வால்டர்
ANNIS	அனிஸ்
MEDWIN	மெட்வின்
AJANTA ELLORA	அஜந்தா எல்லோரா
SRIDHARAN JEGANATHAN	ஸ்ரீதரண் ஜெகநாதன்
EMERSON	எமர்சன்
RATNANGI	ரத்னாங்கி
GOHPUR	கோஹ்பூர்
LOMONOSOV GOLD MEDAL	லொமோனோசோவ் கோல்ட் மெடல்
BARKAAT	பர்காத்
BEENA	பீனா
DEANNA	டீயனா
GANGIAN	காங்கியன்
LAL BANGLA	லால் பாங்லா
MANINDRA	மணிந்திரா
KEITHA	கேய்தா
JAIPUR FORT	ஜெய்பூர் ஃபோர்ட்
HUM TERE ASHIQ HAIN	ஹம் தேரே ஆஷிக் ஹெயின்
SADAGOPPAN	சடகோப்பன்
ADAIR	அடைய்ர்
NACHIKET	நாச்சிகேத்
YAMINAH	யமினா
SHIVHAR	ஷிவ்ஹார்
ABDUL MUGHAANEE	அப்துல் முகானீ
HUSN KA GHULAM	ஹஸன் கா குலாம்
BHOJIPURA JUNCTION	போஜிபூரா ஜங்ஷன்
ANURADHA	அனுராதா
MERITORIOUS SERVICE MEDAL	மெரிடோரியஸ் சர்வீஸ் மெடல்
RAMPRASAD	ராம்பிரசாத்
GIDDH	கித்
BAARIQ	பாரிக்
Bhaumik	பௌமிக்
Anandamayi	ஆனந்தமாயி
EUROPA	யூரோபா
LADKI	லாட்கி
JANYU	ஜன்யு
Ujagar	உஜாகார்
BANDRA TERMINUS	பண்ட்ரா டெர்மினஸ்
EYRE	ஐரி
DONG	டாங்
DONG	டோங்
LANKSTON	லங்ஸ்டன்
Bahi	பாஹி
ANUGAAMITA	அனுகாமித்தா
Slalom	ஸ்லேலம்
ROZALIA	ரோஸலியா
YAMASHIRO MARU	யாமாஷிரோ மாரு
MARTINE	மார்ட்டின்
ANNAPOORNA	அன்னாபூர்னா
Elamanur	ஏலமனூர்
Wilmarsdonck	வில்மார்ஸ்டான்க்
GUNWANTI	குன்வன்தி
PATHYAA	பத்யா
KHWAJA MIR DARD	க்வாஜா மிர் தார்த்
ANANDA BAZAR PATRIKA	அனன்தா பஸார் பர்திக்கா
SHASTRABUDDHE	ஷாஸ்த்ரபுத்தே
KABUL	காபுல்
PARIHAR	பரிஹார்
SLOAN	ஸ்லோவன்
SILESIAN WAR	சிலெஷியன் வார்
HASEENO KA DEVTA	ஹசீனோ கா தேவ்தா
NITIN	நிதின்
CHAPADA DOS GUIMARAES	சாபாடா டாஸ் குய்மாரேஸ்
ARIADNE	அரியாட்ன்
AAP AYE BAHAAR AAYEE	ஆப் ஆயே பஹார் ஆயி
BIWI KIRAYE KI	பிவி கிரயே கி
ORDER OF THE REDEEMER	ஆர்டர் ஆஃப் தி ரீடீமர்
KHUSHAL	குஷால்
LOVE	லவ்
MANZOOR	மன்சூர்
MANZOOR	மன்ஸூர்
ABDUL RAFI	அப்துல் ராஃபி
Kanvalasinh	கன்வலாசின்ஹ்
FAYYADH	ஃபையத்
SAZ	சாஸ்
DOMINO	டொமினோ
LOLA	லோலா
EK TERI NISHANI	ஏக் தேரி நிஷானி
ROMESH KALUWITHARANA	ரொமேஷ் கலுவிதரானா
HIDAYAT INAYAT KHAN	ஹிதாயாத் இனாயாத் கான்
Ethiopian	எத்தியோப்பியன்
RAY BRIGHT	ரே பிரைட்
MATWANI	மாட்வானி
BAHIYY AL DIN	பாஹி அல் தின்
MINAKSHI SUNDARESHVARA	மீனாட்சி சுந்தரேஸ்வரர்
SAMBHAV	சம்பவ்
KAMENG	காமெங்
EESHWAR	ஈஷ்வர்
EESHVAR	ஈஷ்வர்
TRIDEV	டிரைதேவ்
Ekanga	எகாங்கா
LALITHAMANA FERNANDO	லலிதமானா ஃபெர்னாண்டோ
SAKAL	சகால்
ARNHEM	ஆர்ன்ஹெம்
AIRELL	ஐரெல்
WARWAH	வார்வா
BERKELIUM	பெர்கேலியம்
DEVASTHALI	தேவஸ்தலி
PAYASVINEE	பயஸ்வினி
PANAMINT	பனாமின்ட்
PANAMINT	பானாமின்ட்
ANDOY FORT	அன்டாய் ஃப்போர்ட்
DINESH KARTHIK	தினேஷ் கார்த்திக்
CHRISTIANA	கிரிஸ்டியானா
CAROLINA	கரோலினா
BEDETTI	பெதேட்டி
UNAYSAH	உனய்சா
MAZDOOR	மஸ்தூர்
SAINT STANISLAUS HIGH SCHOOL. MUMBAI	செயிண்ட் ஸ்டானிஸ்லாஸ் ஹை ஸ்கூல், மும்பை
MATSUSHITA ELECTRIC INDUSTRIAL	மட்சுஷிட்டா எலக்டிரிக் இண்டஸ்டிரியல்
MADHAVDAS	மாதவ்தாஸ்
NEW YORK HISTORICAL SOCIETY	நியூ யார்க் ஹிஸ்டாரிக்கல் சொசைட்டி
ROMANTIC INDIA	ரோமான்டிக் இண்டியா
JOHN TRAVOLTA	ஜான் ட்ரொவோல்டா
GYANPRABHA	ஞானபிரபா
SATI MADALASA	சதி மடல்ஸா
MIKE GATTING	மைக் கேட்டிங்
MUD MUD KE NA DEKH	முட் முட் கே நா தேக்
OADIRA	ஒதிரா
SIDKI	சித்கி
JASMIN	ஜாஸ்மின்
GUY	கை
RAMA NEWSPRINT	ராமா நியூஸ்ப்ரிண்ட்
BAIDYANATHDHAM	பைத்யநாத்தம்
ABDUL RAQEEB	அப்துல் ராகீப்
ESMAK	அஸ்மாக்
NEELKANTH	நீல்காந்த்
